Data,Leitos ocupados,Recuperados,Mortos,Casos Acumulados
13/04,75,237,33,768
14/04,74,252,39,803
15/04,75,267,41,816
16/04,76,281,43,845
17/04,81,310,42,874
18/04,79,365,47,945
19/04,72,365,50,987
20/04,69,418,51,1007
21/04,69,439,53,1025
22/04,71,502,58,1063
23/04,75,564,60,1082
24/04,76,620,65,1119
25/04,78,661,69,1140
26/04,80,682,73,1156
27/04,86,753,75,1186
28/04,86,851,77,1271
29/04,83,879,82,1348
30/04,73,915,86,1407
01/05,67,974,89,1447
02/05,71,987,90,1492
03/05,71,987,93,1514
04/05,71,1030,94,1562
05/05,65,1070,99,1588
06/05,66,1086,101,1627
07/05,70,1139,104,1656
08/05,58,1210,106,1711
09/05,57,1210,107,1785
10/05,57,1210,109,1835
11/05,56,1266,111,1849
12/05,77,1318,113,1906
13/05,78,1424,117,1996
14/05,78,1449,119,2063
15/05,82,1477,121,2139
16/05,79,1477,123,2242
17/05,80,1477,124,2286
18/05,76,1492,127,2360
19/05,74,1526,130,2480
20/05,78,1608,137,2616
21/05,81,1680,141,2810
22/05,90,1705,146,2938
23/05,90,1705,150,3099
24/05,91,1705,153,3212
25/05,94,1748,156,3331
26/05,101,1795,159,3512
27/05,98,1830,162,3712
28/05,122,1806,169,3984
29/05,127,1863,173,4236
30/05,128,1863,181,4473
31/05,117,1863,182,4687
01/06,126,1971,190,4835
02/06,105,2097,199,5163
03/06,125,2256,205,5494
04/06,118,2267,215,5820
05/06,118,2402,227,6347
06/06,127,2402,232,6604
07/06,133,2402,237,6897
08/06,115,2558,243,7031
09/06,118,2744,253,7314
10/06,165,2887,275,7831
11/06,173,2887,280,8457
12/06,162,3044,294,8705
13/06,165,3044,312,9233
14/06,181,3044,326,9583
15/06,157,3113,334,9716